feature_index,feature_name,component,feature_type,importance
3164,w_452,452,weight,0.00018987319
880,cyz_125,125,off_diagonal,0.00018927605
2724,cxx_389,389,diagonal,0.00018854497
1414,w_202,202,weight,0.00018844107
1537,cyy_219,219,diagonal,0.00018819861
2485,w_355,355,weight,0.00018795735
906,cxz_129,129,off_diagonal,0.000187245
3494,cxx_499,499,diagonal,0.0001864019
1775,cyy_253,253,diagonal,0.00018626686
2189,cyz_312,312,off_diagonal,0.00018539486
441,w_63,63,weight,0.00018522667
3275,czz_467,467,diagonal,0.00018403522
1096,cyy_156,156,diagonal,0.00018376044
371,w_53,53,weight,0.00018347074
2375,cxy_339,339,off_diagonal,0.00018341678
529,cyy_75,75,diagonal,0.00018339147
146,czz_20,20,diagonal,0.00018286672
224,w_32,32,weight,0.00018270998
1866,cyy_266,266,diagonal,0.00018226795
2408,w_344,344,weight,0.00018189428
195,czz_27,27,diagonal,0.00018106113
287,w_41,41,weight,0.00018056172
3332,w_476,476,weight,0.00017985831
2610,czz_372,372,diagonal,0.00017911584
752,cxz_107,107,off_diagonal,0.0001780984
1523,cyy_217,217,diagonal,0.00017803209
836,cxz_119,119,off_diagonal,0.00017782673
163,cxy_23,23,off_diagonal,0.00017766234
3403,cxx_486,486,diagonal,0.00017752576
1910,czz_272,272,diagonal,0.00017744664
1541,cxx_220,220,diagonal,0.00017739912
2470,czz_352,352,diagonal,0.00017708991
1983,cxy_283,283,off_diagonal,0.00017663086
1805,czz_257,257,diagonal,0.00017651333
2619,cxx_374,374,diagonal,0.0001765061
2012,cxz_287,287,off_diagonal,0.00017638659
2065,w_295,295,weight,0.0001762478
1816,cxz_259,259,off_diagonal,0.00017624369
3496,cxz_499,499,off_diagonal,0.00017613157
463,cxx_66,66,diagonal,0.00017542463
184,cxy_26,26,off_diagonal,0.00017506287
289,cxy_41,41,off_diagonal,0.00017502635
1577,cxy_225,225,off_diagonal,0.00017477198
293,czz_41,41,diagonal,0.00017472229
1010,cxy_144,144,off_diagonal,0.0001739373
2706,cyy_386,386,diagonal,0.00017368191
3387,czz_483,483,diagonal,0.00017339154
3216,cxz_459,459,off_diagonal,0.00017332169
7,w_1,1,weight,0.00017316634
1547,w_221,221,weight,0.00017250869
1960,w_280,280,weight,0.00017236156
2303,w_329,329,weight,0.00017232995
410,cyy_58,58,diagonal,0.00017165786
786,cxy_112,112,off_diagonal,0.0001715241
2525,cyz_360,360,off_diagonal,0.00017105218
2543,cxy_363,363,off_diagonal,0.00017058072
2625,w_375,375,weight,0.00017030735
2950,cxz_421,421,off_diagonal,0.00017004526
19,cyz_2,2,off_diagonal,0.00016919304
1391,cyz_198,198,off_diagonal,0.00016879322
1795,cxz_256,256,off_diagonal,0.00016862048
3328,cxz_475,475,off_diagonal,0.00016842915
3082,cxy_440,440,off_diagonal,0.00016837045
1755,cyz_250,250,off_diagonal,0.00016811707
450,cxy_64,64,off_diagonal,0.00016782097
2877,w_411,411,weight,0.00016769281
1366,cxx_195,195,diagonal,0.00016759483
1371,czz_195,195,diagonal,0.00016704542
723,cxy_103,103,off_diagonal,0.00016675446
3357,cyy_479,479,diagonal,0.00016635928
1433,cyz_204,204,off_diagonal,0.0001662925
2028,cyz_289,289,off_diagonal,0.00016601522
932,cxx_133,133,diagonal,0.00016449243
114,cxy_16,16,off_diagonal,0.00016409812
981,cxx_140,140,diagonal,0.00016304113
1572,cyy_224,224,diagonal,0.00016220169
597,cxy_85,85,off_diagonal,0.00016204598
2274,czz_324,324,diagonal,0.00016001827
1320,cyy_188,188,diagonal,0.00015942102
3100,czz_442,442,diagonal,0.00015911998
3344,cyz_477,477,off_diagonal,0.00015788406
2380,w_340,340,weight,0.00015773237
1750,w_250,250,weight,0.00015649147
1389,cxz_198,198,off_diagonal,0.00015615096
1720,cyz_245,245,off_diagonal,0.00015577639
1516,cyy_216,216,diagonal,0.00015545018
2488,cxz_355,355,off_diagonal,0.00015518756
686,w_98,98,weight,0.00015484683
659,cxx_94,94,diagonal,0.00015474799
957,cyz_136,136,off_diagonal,0.00015447267
3144,cxx_449,449,diagonal,0.00015443837
1198,cxx_171,171,diagonal,0.00015425326
1268,cxx_181,181,diagonal,0.00015415717
2968,w_424,424,weight,0.00015388156
1506,cxx_215,215,diagonal,0.00015232556
3289,czz_469,469,diagonal,0.00015226116
1808,cxy_258,258,off_diagonal,0.0001515978
2257,cxz_322,322,off_diagonal,0.0001515907
1207,cxz_172,172,off_diagonal,0.00015122301
1807,cxx_258,258,diagonal,0.0001506675
3180,cxy_454,454,off_diagonal,0.00015050815
1351,w_193,193,weight,0.0001501969
1476,czz_210,210,diagonal,0.00014991598
3011,cxx_430,430,diagonal,0.00014966795
2898,w_414,414,weight,0.00014951474
